Gene,Mean_Ct_Ground,Mean_Ct_Flight,Std_Ground,Std_Flight,ΔΔCt,Fold_Change,log2_FC,t_statistic,p_value,p_adj_BH,Significant_FDR05,MannWhitney_p,-log10_p,Regulation,Pathway
Acacb,27.408601,27.286581375,1.2406744288231766,1.5580043321971622,-0.12201962500000008,1.0882572451480261,0.12201962500000008,0.173285693625481,0.8650302612982441,0.8740569980892159,False,0.7209013209013208,0.06296869937338047,No Change,Lipid Metabolism
Adig,24.0235025,25.440405000000002,1.0633951271678306,1.6171629722216803,1.4169025000000026,0.37451554320410313,-1.4169025000000026,-2.070616204301166,0.06043272113488794,0.14790317547194556,False,0.06495726495726495,1.2187278501126262,No Change,Lipid Metabolism
Adipoq,21.964618,24.205311124999998,1.7985711001332607,2.4817908171389593,2.2406931249999964,0.21158465043768618,-2.2406931249999964,-2.067753556164895,0.05956102850013026,0.14790317547194556,False,0.010411810411810413,1.225037811455882,No Change,Lipid Metabolism
Adrb2,29.724276125,30.487559625000003,1.0077521317824754,0.7937167473707736,0.7632835000000036,0.5891539195277488,-0.7632835000000036,-1.6829656140409759,0.11574542913124027,0.21917751473788052,False,0.020668220668220667,0.9364961505672524,No Change,Other
Agt,25.68373225,27.643837374999997,1.6535029197755333,1.8633646153947232,1.9601051249999983,0.25700972842878617,-1.9601051249999983,-2.2254174460783123,0.04325102941530675,0.12578113687002032,False,0.028127428127428127,1.364003551457735,Downregulated,Lipid Metabolism
Angpt2,26.740488750000004,28.756001875000003,0.8022271646831977,0.6529741267973005,2.0155131249999982,0.2473261816715988,-2.0155131249999982,-5.5112507960136545,8.871428683314337e-05,0.00789557152814976,True,0.0001554001554001554,4.052006434360388,Downregulated,Signaling
Axin1,28.799138875000004,30.146764750000003,1.4494835285352448,1.2316501765963952,1.3476258749999985,0.3929381432914665,-1.3476258749999985,-2.0039282814292214,0.06534661370425816,0.1506538803498523,False,0.10489510489510488,1.1847769128678138,No Change,Other
Bmp2,30.227420125000002,30.654018375,1.5514919393959783,0.7615802089548402,0.42659824999999785,0.744014039360187,-0.42659824999999785,-0.6981309327615699,0.5007185072924591,0.5941859619870515,False,0.7209013209013208,0.30040635614163985,No Change,Signaling
Bmp4,29.377057875,31.227448624999997,1.256646577508846,1.5790005356343917,1.850390749999999,0.27731724722750545,-1.850390749999999,-2.5934808839844283,0.021921012755376567,0.08908696316498083,False,0.04988344988344988,1.6591393852282164,Downregulated,Signaling
Bmp7,30.67581525,30.534803375000003,0.9249484116784568,0.883994864192085,-0.14101187499999668,1.1026782393115193,0.14101187499999668,0.3117306179895002,0.7598485486967139,0.7956061274589122,False,0.8784770784770783,0.11927296169271911,No Change,Signaling
Ccnd1,27.8317855,28.648684125000003,1.1099183244984414,1.0033246560445839,0.8168986250000039,0.5676609379542941,-0.8168986250000039,-1.544283178431869,0.1450412288184692,0.24824364163161075,False,0.08298368298368297,0.8385085294667414,No Change,Other
Cdk4,27.529957875,29.441877625,2.1118011521626636,1.5752632745786548,1.9119197499999991,0.26573869990998505,-1.9119197499999991,-2.0525732867618687,0.06089867762756064,0.14790317547194556,False,0.037917637917637914,1.2153921376674308,No Change,Other
Cdkn1a,27.24222825,27.546775750000002,1.5134398983726491,1.5497591199702845,0.30454750000000175,0.8096961371883933,-0.30454750000000175,-0.39765760413728374,0.6968831015227217,0.7563731223844175,False,0.7984459984459983,0.15684006640909223,No Change,Cell Cycle
Cdkn1b,28.187960375,29.783699249999998,1.2407043021704511,1.0977564729304878,1.5957388749999986,0.330852738260892,-1.5957388749999986,-2.724468636599978,0.016623890033811792,0.08181140388426174,False,0.028127428127428127,1.779267342613335,Downregulated,Cell Cycle
Cebpa,26.076829,27.465860624999998,0.5230907624525052,0.9067075846930929,1.3890316249999977,0.3818210045843562,-1.3890316249999977,-3.7532099243772765,0.003097769135529702,0.06892536326553587,False,0.006993006993006993,2.5089509516192705,Downregulated,Adipogenesis/TF
Cebpb,29.748006375000003,30.080196875,1.0223035893988126,0.9469221927487628,0.33219049999999584,0.7943295062983361,-0.33219049999999584,-0.674269826753775,0.5111839000877554,0.5986232514185557,False,0.4418026418026417,0.29142283288790966,No Change,Adipogenesis/TF
Cebpd,29.0175135,30.04651825,0.6215839339604222,0.6626342412129997,1.0290047499999986,0.49004809420986917,-1.0290047499999986,-3.203441492506449,0.006405097613619197,0.08181140388426174,False,0.004662004662004662,2.193474247225596,Downregulated,Adipogenesis/TF
Cfd,19.371381875,20.110394,0.8311448154670995,1.5600783237468745,0.7390121249999986,0.5991494751509703,-0.7390121249999986,-1.182486362692652,0.2626758539525652,0.37706695164158555,False,0.7209013209013208,0.5805798471877511,No Change,Other
Creb1,28.860561875000002,29.871078125000004,2.341906188114315,1.84492006275591,1.010516250000002,0.4963685967706489,-1.010516250000002,-0.9586940926810782,0.35485197463242635,0.46443861385714624,False,0.08298368298368297,0.44995277372499004,No Change,Other
Ddit3,27.618972,29.214429000000003,1.6645526731137967,1.230777621935243,1.5954570000000032,0.3309173868692734,-1.5954570000000032,-2.179851239232356,0.04841359385715886,0.13066704493900555,False,0.037917637917637914,1.3150326774417227,Downregulated,Other
Dio2,31.915236124999996,31.0720395,1.7620058249666517,1.437838428649258,-0.8431966249999974,1.794020809874504,0.8431966249999974,1.0486794385805707,0.3127933440794366,0.4314274388304431,False,0.3822843822843822,0.504742496853645,No Change,Thermogenesis
