,RF_Importance,XGB_Importance,SHAP_RF,SHAP_XGB,Statistical_Sig,Consensus_Score
Angpt2,0.9999999990631656,1.0,0.9999999981318763,1.0,0.9999999999749596,0.9999999994340003
Irs2,0.6466445863648292,0.0,0.6323616781500747,0.0,0.9130318493340719,0.43840762276979517
Jun,0.3967014077744177,0.0,0.3952525101027603,0.0,0.8253321657250077,0.32345721672043715
Klf2,0.46880927313712834,0.0,0.4671811218365868,0.0,0.5885152995285422,0.3049011389004515
Ucp1,0.4646299660664824,0.0,0.4413558760718416,0.0,0.4301579154635547,0.26722875152037573
Cebpa,0.3437128345390414,0.0,0.3419938706010176,0.0,0.6136127116350077,0.2598638833550133
Klf15,0.2247321248199666,0.0,0.20154969694796046,0.0,0.4898406528928908,0.18322449493216358
Rxra,0.23547225945157188,0.0,0.20572376201325304,0.0,0.47050221241969553,0.18233964677690412
Klf3,0.1863638420657227,0.0,0.20979876214334173,0.0,0.5143449233803924,0.18210150551789137
Cebpd,0.1743209303186063,0.0,0.15178742342745657,0.0,0.5346160781966837,0.1721448863885493
Ncor2,0.20011779737974109,0.0,0.15883977861089793,0.0,0.4935938604400278,0.17051028728613335
Taz,0.252320750922745,0.0,0.2422211926551358,0.0,0.35588123919907777,0.17008463655539172
Lpl,0.16553030077444614,0.0,0.19384513704917336,0.0,0.42552714666520086,0.15698051689776407
Klf4,0.16654835044405608,0.0,0.18073123235453542,0.0,0.4320616980883068,0.15586825617737965
Hsp90ab1,0.15524685523535228,0.0,0.1476620384937022,0.0,0.44074175701099016,0.14873013014800893
Actb,0.15909755791825902,0.0,0.16012732357201154,0.0,0.3793953046985806,0.13972403723777024
Lmna,0.1816215169006407,0.0,0.1816286599632945,0.0,0.33292362476176535,0.13923476032514012
Rb1,0.14713352812236874,0.0,0.15614724417602704,0.0,0.32551333824754697,0.12575882210918854
Lipe,0.10161940484893207,0.0,0.10350951815130428,0.0,0.41473427180062117,0.1239726389601715
Adrb2,0.2114434049752826,0.0,0.17541770537614437,0.0,0.21986371594995605,0.1213449652602766
Adipoq,0.16677966759745064,0.0,0.14603634930181864,0.0,0.29211570634877976,0.12098634464960982
Sirt2,0.09647710436421682,0.0,0.11465065082128341,0.0,0.38579758416106713,0.11938506786931347
Foxo1,0.1106606472331086,0.0,0.10077277131088326,0.0,0.3835172375701555,0.11899013122282946
Irs1,0.08327417522202804,0.0,0.09364267045018344,0.0,0.40031912736149655,0.1154471946067416
Pparg,0.15878450562285082,0.0,0.1474352066528355,0.0,0.2674375850083419,0.11473145945680566
Lrp5,0.041887310493291745,0.0,0.05426084614267762,0.0,0.4733718702061209,0.11390400536841808
Tcf7l2,0.13420207816993193,0.0,0.1130134136218402,0.0,0.314569981701136,0.11235709469858161
Bmp4,0.09505032121302191,0.0,0.06566147957968113,0.0,0.40081648336558295,0.1123056568316572
Ncoa2,0.04654431579374067,0.0,0.03911383871145261,0.0,0.45702851390626437,0.10853733368229153
Gusb,0.032632241282441535,0.0,0.0293829224264149,0.0,0.4612272369759309,0.10464848013695746
