,Angpt2,Irs2,Jun,Klf2,Ucp1,Cebpa,Klf15,Rxra,Klf3,Cebpd,Ncor2,Taz,Lpl,Klf4,Hsp90ab1,Actb,Lmna,Rb1,Lipe,Adrb2,Adipoq,Sirt2,Foxo1,Irs1,Pparg
Angpt2,1.0,0.8199590459757676,0.884070827662516,0.7868069631308647,-0.475806407255293,0.6992987483295836,0.7897914246426678,0.7671994038215506,0.762644862154701,0.7076150026519219,0.7940592430384124,0.693193613256728,0.7554118110671457,0.7412810611033667,0.7456077500944618,0.7177132457309314,0.7006342682886695,0.6977950390113529,0.7441158661141937,0.6056787219923779,0.6433214726248617,0.7195248951375988,0.7189800622374767,0.7496369979687075,0.6489300603119271
Irs2,0.8199590459757676,1.0,0.9337395142888544,0.843706393280132,-0.48484622450624776,0.7358422009134075,0.8568654736719631,0.7840611747197047,0.8109280262309387,0.8653921797238767,0.8248841211619992,0.7253834627304364,0.7417989513462037,0.781813344115154,0.76438365053199,0.7308744384086008,0.7375873706641347,0.7205219466522154,0.7798967515267888,0.6752787132133193,0.6641354011908294,0.7437385428965819,0.7905945442008832,0.7907575194477766,0.6645518146578592
Jun,0.884070827662516,0.9337395142888544,1.0,0.9138312710009815,-0.41822746095291463,0.816233736507948,0.8740067662053567,0.8781582697699014,0.8887139981041551,0.9082485101463365,0.9026070905445105,0.7190452076470529,0.8071015569018007,0.8217461129441278,0.8011292809421865,0.7588527174118007,0.7923072852073693,0.7668940866950215,0.8198504930938452,0.7237053817839367,0.7105878355887271,0.7708428587262531,0.780202995732365,0.7907604176524158,0.7440219781781859
Klf2,0.7868069631308647,0.843706393280132,0.9138312710009815,1.0,-0.2308759775570215,0.6369350157296142,0.9127163225511046,0.8270958278233619,0.9500998121837091,0.8827638422220399,0.8398563811056031,0.7921649536760362,0.8502234261625573,0.9393242801636354,0.8225805035052134,0.8349172083548246,0.8960160850113095,0.8805417505548849,0.8911659657246943,0.840468695444783,0.8233513003213218,0.864957342690164,0.7548250333510079,0.8452601845125467,0.8802357375125444
Ucp1,-0.475806407255293,-0.48484622450624776,-0.41822746095291463,-0.2308759775570215,1.0,-0.4407318705115295,-0.351895396223647,-0.341887131132116,-0.19256210702304055,-0.10641317826046459,-0.28254789483194176,-0.1368813928459686,-0.3372354832571577,-0.133536570291796,-0.3220604451750468,-0.29088252070126547,-0.15293399386157344,-0.15116848527353238,-0.31057107687660784,0.09120874890983044,-0.241812647016377,-0.24067826863590278,-0.3218052221892288,-0.23364549629059667,-0.1330050396163384
Cebpa,0.6992987483295836,0.7358422009134075,0.816233736507948,0.6369350157296142,-0.4407318705115295,1.0,0.5428350866623288,0.7744646776164297,0.5821637269590852,0.7645097838050355,0.6942034098650339,0.30064767631796857,0.5345284039910388,0.45840706634020983,0.474354538047074,0.403084046246296,0.41882721010329654,0.38129525639556694,0.5363699231597497,0.326339901910211,0.3938579687532634,0.3829464313676123,0.44125979679624666,0.3687771908750375,0.39028841870940667
Klf15,0.7897914246426678,0.8568654736719631,0.8740067662053567,0.9127163225511046,-0.351895396223647,0.5428350866623288,1.0,0.831425042128509,0.9011312737484487,0.7844565040207278,0.8078398227921277,0.8959556414682331,0.9427225803933399,0.941500916288154,0.9038339802510114,0.9417135117080309,0.9394132549334029,0.9529388638182134,0.9640983416889557,0.8319733705985496,0.9197292771863009,0.9450034681815115,0.8773471572421158,0.942937750161436,0.9192249218393167
Rxra,0.7671994038215506,0.7840611747197047,0.8781582697699014,0.8270958278233619,-0.341887131132116,0.7744646776164297,0.831425042128509,1.0,0.88734262324773,0.7852334576541871,0.8953874795365566,0.7370339495940292,0.884815251224741,0.8147787086664666,0.8892273270404855,0.841026872412007,0.8438614636077911,0.8014630388654068,0.8786300586747432,0.568610302997011,0.8035571945518892,0.8125076525932724,0.8080483585163994,0.747871974595142,0.8146774377399917
Klf3,0.762644862154701,0.8109280262309387,0.8887139981041551,0.9500998121837091,-0.19256210702304055,0.5821637269590852,0.9011312737484487,0.88734262324773,1.0,0.837823672954985,0.9107146886308967,0.877784474730293,0.8828676784120117,0.9559235321010333,0.9302388977235957,0.9053932321546977,0.9519953829523741,0.9194540269081626,0.8935255818091692,0.8108793344308171,0.85116448666815,0.9192398759620972,0.8654569129978525,0.8834194443474828,0.9235825783350137
Cebpd,0.7076150026519219,0.8653921797238767,0.9082485101463365,0.8827638422220399,-0.10641317826046459,0.7645097838050355,0.7844565040207278,0.7852334576541871,0.837823672954985,1.0,0.815496249390535,0.671268854860599,0.6824741050785592,0.7917771731083636,0.6696287950346593,0.6470854548602294,0.7351650332145281,0.7111051670925214,0.7253685674581601,0.787858917756096,0.6154253604806447,0.6734547106819969,0.6707251314294455,0.6970810656070349,0.678802072214177
